ID,Income,CCAvg,Personal Loan,CreditCard
1,49,1.6,0,0
2,34,1.5,0,0
3,11,1,0,0
4,100,2.7,0,0
5,45,1,0,1
6,29,0.4,0,0
7,72,1.5,0,0
8,22,0.3,0,1
9,81,0.6,0,0
10,180,8.9,1,0
11,105,2.4,0,0
12,45,0.1,0,0
13,114,3.8,0,0
14,40,2.5,0,0
15,112,2,0,0
16,22,1.5,0,1
17,130,4.7,1,0
18,81,2.4,0,0
19,193,8.1,1,0
20,21,0.5,0,1
21,25,0.9,0,0
22,63,2,0,0
23,62,1.2,0,0
24,43,0.7,0,0
25,152,3.9,0,1
26,29,0.5,0,0
27,83,0.2,0,0
28,158,2.4,0,1
29,48,2.2,0,1
30,119,3.3,1,1
31,35,1.2,0,0
32,29,2,0,0
33,41,0.6,0,0
34,18,0.9,0,0
35,50,1.8,0,0
36,81,0.7,0,0
37,121,2.9,0,1
38,71,1.4,0,0
39,141,5,1,0
40,80,0.7,0,0
41,84,1.6,0,0
42,60,2.3,0,0
43,132,1.1,1,0
44,45,0.7,0,0
45,104,5.7,0,1
46,52,2.5,0,1
47,43,0.7,0,0
48,194,0.2,1,1
49,81,4.5,0,1
50,49,1.8,0,1
51,8,0.7,0,0
52,131,2.9,0,0
53,72,0.1,0,0
54,190,2.1,1,0
55,44,0.2,0,0
56,139,8,0,0
57,29,0.1,0,0
58,131,1.2,1,0
59,93,0.2,0,0
60,188,4.5,0,0
61,39,1.7,0,0
62,125,5.7,0,0
63,22,1,0,0
64,32,0,0,0
65,105,3.3,0,0
66,131,3.8,0,1
67,105,2.8,0,0
68,45,2,0,0
69,60,2.1,0,1
70,20,0.2,0,0
71,115,3.5,0,1
72,69,1,0,0
73,130,5,0,1
74,85,4,0,1
75,135,3.3,0,1
76,135,3.8,1,1
77,12,0.3,0,0
78,29,0.5,0,0
79,133,2.6,1,0
80,19,0.4,0,0
81,41,1.3,0,1
82,40,2.7,0,0
83,82,4,0,0
84,50,2.4,0,0
85,18,0.9,0,0
86,109,1.8,0,0
87,42,2.2,0,0
88,78,1.1,0,0
89,51,1.1,0,0
90,113,2.3,0,1
91,118,5.6,1,0
92,29,1.1,0,0
93,34,0.6,0,0
94,64,1.7,0,0
95,121,2,0,0
96,48,0.2,0,0
97,80,5.2,0,0
98,161,2.9,0,0
99,94,0.3,0,0
100,15,0.1,0,0
101,74,1.2,0,0
102,30,1.3,0,0
103,44,1,0,1
104,22,0.3,0,0
105,38,1.3,0,1
106,35,0.1,0,0
107,69,2.9,0,1
108,43,0.7,0,0
109,32,0.6,0,0
110,49,2.8,0,0
111,9,1,0,0
112,45,1.3,0,0
113,82,1,0,0
114,92,2.8,0,0
115,39,0.5,0,0
116,81,1.8,0,0
117,35,1.5,0,0
118,61,2.3,0,0
119,73,3,0,0
120,112,4.6,0,0
121,12,0.2,0,0
122,38,0.9,0,0
123,73,0.7,0,1
124,84,3.6,0,0
125,78,2.4,0,0
126,80,0.5,0,0
127,115,1.3,0,1
128,82,2.7,0,0
129,74,0,0,0
